intern_id,topic,score,time_taken,date
INT001,Python,85,45,2026-03-25
INT001,Recursion,60,80,2026-03-26
INT001,Python,95,30,2026-03-28
INT001,Arrays,88,40,2026-03-29
INT001,UI/UX,70,50,2026-03-30
INT001,Python,92,35,2026-04-01
INT001,Recursion,55,90,2026-04-02
INT001,Arrays,78,60,2026-04-03
INT001,UI/UX,75,55,2026-04-04
INT001,Python,89,40,2026-04-05
INT001,Recursion,65,70,2026-04-06
INT001,Arrays,82,50,2026-04-07
INT001,Python,91,38,2026-04-08
INT001,UI/UX,80,45,2026-04-09
INT001,Recursion,58,85,2026-04-10
INT001,Arrays,84,48,2026-04-11
INT001,Python,93,32,2026-04-12
INT001,UI/UX,77,52,2026-04-13
INT001,Recursion,62,75,2026-04-14
INT001,Arrays,86,46,2026-04-15
